,0,Formation energy [eV/atom],Magnetic moment [mu_B],Radius A [ang],Radius B [ang],Stability [eV/atom],Vacancy energy [eV/O atom],Volume per atom [A^3/atom],a [ang],alpha [deg],b [ang],beta [deg],c [ang],gamma [deg],band gap (dft),band gap(ml),diff
194,,-3.01,0,1.08,0.89,0.842,1.808,15.017,4.219,90,4.219,90,4.219,90,1.895,1.6638263739,0.2311736261
195,,-2.141,0.107,1.08,0.95,1.122,-2.293,15.424,4.256,90,4.256,90,4.256,90,0,0.0226545068,-0.0226545068
196,,-2.758,1,1.08,0.65,-0.029,3.19,11.329,5.298,90,5.607,90,7.627,90,1.153,1.238972208,-0.085972208
197,,-2.946,0,1.08,0.62,0.024,4.486,11.113,5.277,90,5.565,90,7.569,90,4.139,3.8109199677,0.3280800323
198,,-2.798,0,1.08,0.94,1.002,0.203,16.091,4.317,90,4.317,90,4.317,90,1.371,1.3190710542,0.0519289458
199,,-2.218,0,1.08,0.63,0.604,2.86,11.598,3.871,90,3.871,90,3.871,90,0,0.0302877239,-0.0302877239
200,,-3.428,0.001,1.08,0.71,0.204,4.711,12.477,5.464,90,6.051,90,7.548,90,0,-0.2217282815,0.2217282815
201,,-1.182,0,1.08,1.11,0.904,-0.9,14.72,4.191,90,4.191,90,4.191,90,0,-0.0417920552,0.0417920552
202,,-2.963,0,1.08,0.9,0.878,1.406,15.248,4.24,90,4.24,90,4.24,90,1.662,1.7787508692,-0.1167508692
203,,-1.644,0,1.08,0.57,0.739,-0.776,12.365,3.954,90,3.954,90,3.954,90,0,-0.0024096229,0.0024096229
204,,-2.033,0.4,1.08,1.38,0.458,-3.846,18.007,5.958,90,5.981,90,10.106,90,0,-0.0024647058,0.0024647058
205,,-2.446,0,1.08,1.03,1.315,-2.941,18.419,4.516,90,4.516,90,4.516,90,0.387,0.2395733085,0.1474266915
206,,-2.256,0.4,1.08,0.76,0.33,-1.332,10.476,5.023,90,5.772,90,7.226,90,0,0.0117059372,-0.0117059372
207,,-3.151,0,1.08,0.86,0.734,2.879,14.331,4.154,90,4.154,90,4.154,90,2.052,1.9433381868,0.1086618132
208,,-2.902,0.201,1.08,0.72,0.189,-1.468,11.506,5.423,90,5.757,90,7.371,90,0,-0.1265718531,0.1265718531
209,,-2.936,0.8,1.08,0.65,0.023,3.468,11.38,5.293,90,5.739,90,7.493,90,0.379,0.4682054941,-0.0892054941
210,,-2.285,0.006,1.08,0.69,0.618,1.87,12.384,3.956,90,3.956,90,3.956,90,0,0.0006562478,-0.0006562478
211,,-1.435,0.4,1.08,1.02,1.056,-2.758,12.107,3.927,90,3.927,90,3.927,90,0,-0.0101471063,0.0101471063
212,,-2.615,0,1.08,0.64,0.577,3.287,13.062,4.027,90,4.027,90,4.027,90,0,0.3078317774,-0.3078317774
213,,-2.502,0,1.08,0.98,1.212,-1.797,17.67,4.454,90,4.454,90,4.454,90,0.825,0.6090759718,0.2159240282
214,,-2.381,0.2,1.08,0.6,0.02,1.035,10.601,5.182,90,5.523,90,7.409,90,0,0.0437355349,-0.0437355349
215,,-1.692,0.003,1.08,0.57,0.735,0.219,12.206,3.937,90,3.937,90,3.937,90,0,-0.0067111606,0.0067111606
216,,-2.407,0.334,1.08,0.91,0.892,3.01,17.775,4.463,90,4.463,90,4.463,90,0,-0.0554149849,0.0554149849
217,,-1.714,0,1.08,0.75,0.515,-0.022,12.383,3.956,90,3.956,90,3.956,90,0,0.0526609447,-0.0526609447
218,,-2.591,0,1.08,0.97,1.151,-1.227,17.189,4.413,90,4.413,90,4.413,90,1.032,0.6501228425,0.3818771575
219,,-2.419,0,1.08,0.99,1.273,-2.36,18.136,4.493,90,4.493,90,4.493,90,0.619,0.2158097562,0.4031902438
220,,-1.554,0,1.08,0.67,0.698,-0.437,12.95,4.016,90,4.016,90,4.016,90,0,-0.0368361763,0.0368361763
221,,-2.648,0.954,1.08,0.83,1.072,-0.207,16.64,4.366,90,4.366,90,4.366,90,0,0.0819350662,-0.0819350662
222,,-2.135,0,1.08,1.52,0.338,-8.123,18.335,6.164,90,6.253,90,9.515,90,1.451,1.2579973797,0.1930026203
223,,-1.911,0.161,1.08,0.58,0.761,0.414,12.3,3.947,90,3.947,90,3.947,90,0,-0.0115016543,0.0115016543
224,,-1.848,0,1.08,0.67,0.523,-0.064,12.035,3.919,90,3.919,90,3.919,90,0,0.0469044364,-0.0469044364
225,,-1.904,0.137,1.08,0.57,0.57,0.774,12.018,3.917,90,3.917,90,3.917,90,0,-0.0434691349,0.0434691349
226,,-1.756,0,1.08,0.76,0.965,1.154,14.858,4.204,90,4.204,90,4.204,90,0,0.0627417149,-0.0627417149
227,,-3.781,0,1.08,0.75,0.027,5.013,12.271,5.43,90,5.721,90,7.901,90,4.661,4.7944755832,-0.1334755832
228,,-2.643,0,1.08,0.4,0.718,4.666,10.014,3.686,90,3.686,90,3.686,90,0,0.1232872075,-0.1232872075
229,,-2.647,0,1.08,0.96,1.108,-0.803,16.879,4.386,90,4.386,90,4.386,90,1.24,0.7775093047,0.4624906953
230,,-2.029,0.002,1.08,0.69,0.804,2.368,13.8,4.102,90,4.102,90,4.102,90,0,0.0268365843,-0.0268365843
231,,-2.882,0.2,1.08,1.18,0.259,-3.605,16.643,5.812,90,5.853,90,9.786,90,0,-0.0266940375,0.0266940375
232,,-2.696,0.001,1.08,0.64,0.609,3.345,12.848,4.005,90,4.005,90,4.005,90,0,-0.1045268338,0.1045268338
233,,-2.726,0,1.08,0.92,0.958,0.631,15.798,4.291,90,4.291,90,4.291,90,1.658,1.1971735511,0.4608264489
234,,-2.083,0.321,1.08,0.6,0.587,1.315,12.18,3.934,90,3.934,90,3.934,90,0,-0.0568151433,0.0568151433
235,,-1.446,0.01,1.08,0.77,1.093,1.033,15.173,4.233,90,4.233,90,4.233,90,0,0.0313121157,-0.0313121157
236,,-2.801,0.152,1.08,0.94,1.011,2.387,18.885,4.554,90,4.554,90,4.554,90,0,0.1535427046,-0.1535427046
237,,-3.44,0.2,1.08,0.67,0.039,4.77,11.518,5.309,90,5.676,90,7.645,90,0,0.1218223832,-0.1218223832
238,,-2.265,0,1.08,0.89,0.108,0.61,14.133,5.576,90,5.93,90,8.549,90,1.097,1.1319280546,-0.0349280546
239,,-3.07,0,1.08,0.88,0.8,2.191,14.729,4.192,90,4.192,90,4.192,90,1.869,1.9487326975,-0.0797326975
240,,-2.59,0.566,1.08,0.76,1.033,2.281,16.738,4.374,90,4.374,90,4.374,90,0,-0.030080725,0.030080725
241,,-3.25,0.4,1.08,0.64,-0.031,3.984,11.521,5.313,90,5.703,90,7.605,90,1.489,1.4020260399,0.0869739601
242,,-2.211,0.001,1.08,0.62,0.757,1.435,12.44,3.962,90,3.962,90,3.962,90,0,0.0148309204,-0.0148309204
243,,-2.888,0,1.08,0.9,0.92,1.075,15.51,4.264,90,4.264,90,4.264,90,1.751,1.5400324173,0.2109675827
244,,-2.389,-0.158,1.08,0.87,0.919,-1.872,13.809,4.102,90,4.102,90,4.102,90,0,-0.0753695482,0.0753695482
245,,-2.423,0,1.08,0.74,0.14,-0.209,11.326,5.255,90,5.777,90,7.461,90,0,-0.005239921,0.005239921
246,,-2.982,0,1.08,0.72,0.567,4.354,14.046,4.126,90,4.126,90,4.126,90,0,-0.1591658425,0.1591658425
247,,-2.392,0.071,1.04,1.12,0.801,-1.242,19.318,4.588,90,4.588,90,4.588,90,0,-0.0210158777,0.0210158777
248,,-2.379,0.2,1.14,0.87,0.784,-1.777,18.026,4.484,90,4.484,90,4.484,90,0,0.0462673545,-0.0462673545
249,,-2.789,0.4,1.04,0.62,-0.024,1.718,10.367,5.191,90,5.406,90,7.389,90,0.578,0.9135028713,-0.3355028713
250,,-2.759,0.199,1.04,0.91,0.569,-1.456,15.427,4.257,90,4.257,90,4.257,90,0,0.0838047015,-0.0838047015
251,,-2.823,0.2,1.04,0.89,0.529,-1.373,14.966,4.214,90,4.214,90,4.214,90,0,0.1938428132,-0.1938428132
252,,-2.033,0.001,1.04,0.95,0.728,-1.672,14.521,4.172,90,4.172,90,4.172,90,0,-0.0706988179,0.0706988179
253,,-2.384,0.799,1.04,0.65,-0.123,1.336,10.36,5.221,90,5.341,90,7.429,90,0,0.0732167921,-0.0732167921
254,,-2.686,0.2,1.04,0.94,0.614,-1.511,15.92,4.302,90,4.302,90,4.302,90,0,0.099660595,-0.099660595
255,,-3.816,0,1.14,0.71,-0.109,6.42,12.29,5.481,90,5.69,90,7.881,90,4.701,4.7275224691,-0.0265224691
256,,-2.792,0.2,1.04,0.9,0.548,-1.429,15.159,4.232,90,4.232,90,4.232,90,0,0.1921560983,-0.1921560983
257,,-2.106,0.048,1.14,0.63,-0.064,0.609,11.119,5.168,90,5.7,90,7.55,90,0,-0.0845241938,0.0845241938
258,,-2.533,0.189,1.04,1.03,0.727,-1.381,17.574,4.446,90,4.446,90,4.446,90,0,0.0517547738,-0.0517547738
259,,-3.244,0.2,1.04,0.86,0.14,-1.221,13.155,5.745,90,5.968,90,7.674,90,0,0.3055846256,-0.3055846256
260,,-2.61,0.6,1.14,0.53,-0.078,1.429,10.224,5.193,90,5.322,90,7.398,90,0.7,0.500628542,0.199371458
261,,-2.758,0.072,1.14,0.65,-0.062,4.233,11.478,5.329,90,5.605,90,7.685,90,0,1.0383638891,-1.0383638891
262,,-3.157,0.003,1.14,0.68,-0.122,5.047,12.034,5.432,90,5.661,90,7.826,90,0,0.3721534905,-0.3721534905
263,,-2.492,0.2,1.04,0.98,0.785,-1.651,17.07,4.403,90,4.403,90,4.403,90,0,-0.014645683,0.014645683
264,,-1.873,0,1.04,0.6,0.027,-0.017,9.982,5.126,90,5.319,90,7.323,90,0,0.0564626994,-0.0564626994
265,,-2.937,0.6,1.04,0.86,0.693,3.523,16.614,4.363,90,4.363,90,4.363,90,0,0.3305791101,-0.3305791101
266,,-2.188,0.167,1.04,0.57,-0.088,1.732,11.096,5.182,90,5.655,90,7.574,90,0,-0.4050105345,0.4050105345
267,,-3.308,0.2,1.04,0.91,-0.045,5.2,15.125,5.85,90,6.086,90,8.497,90,2.527,1.6384459239,0.8885540761
268,,-2.549,0.2,1.04,0.97,0.693,-1.616,16.645,4.366,90,4.366,90,4.366,90,0,0.15723666,-0.15723666
269,,-2.441,0.2,1.14,0.85,0.751,-1.717,17.502,4.44,90,4.44,90,4.44,90,0,0.0727426726,-0.0727426726
270,,-1.98,0.001,1.04,0.67,-0.133,-0.622,11.319,5.227,90,5.704,90,7.593,90,0.932,0.2498734396,0.6821265604
271,,-3.469,0.8,1.04,0.83,-0.107,2.783,14.265,5.729,90,5.981,90,8.327,90,1.952,1.9881637155,-0.0361637155
272,,-2.419,-0.007,1.14,0.63,0.009,2.418,11.283,5.266,90,5.624,90,7.62,90,0,0.1815836399,-0.1815836399
273,,-2.246,0.346,1.14,0.62,-0.083,2.043,11.06,5.232,90,5.586,90,7.569,90,0,-0.1290915,0.1290915
274,,-3.209,0.2,1.04,0.75,0.098,-1.039,12.182,5.524,90,5.757,90,7.662,90,0,0.2109382957,-0.2109382957
275,,-2.583,0.2,1.04,0.96,0.671,-1.644,16.464,4.35,90,4.35,90,4.35,90,0,-0.0261936314,0.0261936314
276,,-3.249,0.002,1.14,0.68,-0.086,5.258,11.895,5.41,90,5.639,90,7.798,90,0,0.8495370185,-0.8495370185
277,,-2.593,0.2,1.14,0.76,0.591,-1.472,15.695,4.281,90,4.281,90,4.281,90,0,0.0957882295,-0.0957882295
278,,-2.501,0.326,1.04,0.6,-0.077,2.947,11.202,5.261,90,5.592,90,7.615,90,0,-0.0181306553,0.0181306553
279,,-3.229,0,1.14,0.94,0.716,4.825,18.729,4.541,90,4.541,90,4.541,90,1.129,1.9046454754,-0.7756454754
280,,-3.528,0,1.14,0.61,-0.128,5.064,10.921,5.298,90,5.449,90,7.566,90,2.364,4.3614426053,-1.9974426053
281,,-2.866,0.2,1.04,0.88,0.503,-1.312,14.722,4.191,90,4.191,90,4.191,90,0,-0.226569029,0.226569029
282,,-3.007,0.346,1.14,0.89,0.688,4.677,16.839,4.383,90,4.383,90,4.383,90,0,0.5053915623,-0.5053915623
283,,-3.073,0.2,1.14,0.58,0.005,3.823,10.585,5.228,90,5.407,90,7.49,90,0.346,1.2140114287,-0.8680114287
284,,-2.734,0.042,1.14,0.66,-0.024,4.04,11.555,5.326,90,5.633,90,7.703,90,0,1.0379783178,-1.0379783178
285,,-2.719,0.2,1.04,0.9,0.588,-1.615,15.535,4.267,90,4.267,90,4.267,90,0,0.1166571449,-0.1166571449
286,,-3.661,0,1.14,0.72,-0.078,5.935,12.652,5.525,90,5.756,90,7.958,90,4.217,4.115806104,0.101193896
287,,-2.28,0.2,0.9,1.12,0.17,-3.996,15.115,5.779,90,6.011,90,8.703,90,0,1.0453989633,-1.0453989633
288,,-2.228,0.2,0.9,0.87,0.192,-4.988,14.337,5.515,90,5.978,90,8.697,90,0.626,0.6414431737,-0.0154431737
289,,-0.659,0.501,0.9,0.53,0.627,-1.336,9.843,3.665,90,3.665,90,3.665,90,0,-0.0026085692,0.0026085692
290,,-1.335,0.398,0.9,0.55,0.618,-0.105,10.405,3.733,90,3.733,90,3.733,90,0,-0.0079377526,0.0079377526
291,,-1.47,-0.219,0.9,0.99,1.115,-3.959,15.601,4.273,90,4.273,90,4.273,90,0,0.0076016461,-0.0076016461
292,,-1.53,-0.214,0.9,0.89,1.078,-3.753,15.258,4.241,90,4.241,90,4.241,90,0,-0.0150490881,0.0150490881
293,,-1.942,0,0.9,1.06,0.076,-6.161,12.944,5.884,90,6.038,90,7.287,90,2.185,1.4046856958,0.7803143042
294,,-0.97,0.798,0.9,0.59,0.562,-0.75,10.281,3.718,90,3.718,90,3.718,90,0,-0.0180273,0.0180273
295,,-1.406,-0.225,0.9,0.94,1.15,-4.185,16.173,4.324,90,4.324,90,4.324,90,0,-0.0030984436,0.0030984436
296,,-2.279,0,0.9,0.71,0.684,0.175,13.271,4.048,90,4.048,90,4.048,90,0,0.3055295316,-0.3055295316
297,,-1.483,-0.005,0.9,0.9,1.114,-4.043,15.4,4.254,90,4.254,90,4.254,90,0,-0.0050744138,0.0050744138
298,,-0.536,0.037,0.9,0.63,0.762,0.436,11.674,3.879,90,3.879,90,3.879,90,0,0.0107400058,-0.0107400058
299,,-2.333,0.2,0.9,1.03,0.183,-4.393,14.238,5.439,90,5.977,90,8.759,90,0.656,0.5563600054,0.0996399946
300,,-1.622,-0.207,0.9,0.86,1.019,-3.418,14.623,4.182,90,4.182,90,4.182,90,0,-0.0201751931,0.0201751931
301,,-1.171,0.632,0.9,0.53,0.539,-0.703,10.19,3.707,90,3.707,90,3.707,90,0,0.0063718253,-0.0063718253
302,,-1.746,0.4,0.9,0.65,0.221,3.816,10.706,5.262,90,5.266,90,7.728,90,0,0.1671434937,-0.1671434937
303,,-2.275,0.2,0.9,0.98,0.258,-4.769,13.873,5.458,90,5.847,90,8.694,90,0.509,0.5597952614,-0.0507952614
304,,-0.484,-0.004,0.9,0.48,0.673,-1.995,9.823,3.662,90,3.662,90,3.662,90,0,0.1794735969,-0.1794735969
305,,-1.999,0.391,0.9,0.86,0.887,-0.126,15.615,4.274,90,4.274,90,4.274,90,0,-0.0302708903,0.0302708903
306,,-0.793,0.027,0.9,0.57,0.563,3.067,11.573,3.868,90,3.868,90,3.868,90,0,0.0031922659,-0.0031922659
307,,-2.497,0.2,0.9,0.91,0.021,3.359,14.663,6.136,55.6,6.136,55.6,6.136,55.6,1.523,1.5724647029,-0.0494647029
308,,-2.262,0.2,0.9,0.97,0.236,-4.559,13.211,5.494,90,5.734,90,8.386,90,0,0.7603296402,-0.7603296402
309,,-2.255,0.2,0.9,0.85,0.193,-4.902,14.103,5.493,90,5.873,90,8.743,90,0.655,0.6728433467,-0.0178433467
310,,-0.273,0.087,0.9,0.67,0.831,-0.921,12.099,3.926,90,3.926,90,3.926,90,0,-0.0025411985,0.0025411985
311,,-1.827,0.685,0.9,0.83,0.789,-0.617,15.805,4.291,90,4.291,90,4.291,90,0,0.024378497,-0.024378497
312,,-1.439,0,0.9,0.63,0.245,3.253,10.38,5.145,63.5,5.145,63.5,5.145,63.5,0,-0.0292204964,0.0292204964
313,,-0.519,0.258,0.9,0.6,0.763,-0.397,11.576,3.868,90,3.868,90,3.868,90,0,0.0278632126,-0.0278632126
314,,-0.768,0.159,0.9,0.62,0.651,1.194,11.438,3.853,90,3.853,90,3.853,90,0,0.0068152894,-0.0068152894
315,,-1.679,0.001,0.9,0.75,0.884,-2.964,12.907,4.011,90,4.011,90,4.011,90,0,-0.0306979728,0.0306979728
316,,-2.311,0.2,0.9,0.96,0.199,-4.454,13.484,5.451,90,5.759,90,8.59,90,0.543,0.6241612356,-0.0811612356
317,,-1.307,-0.215,0.9,0.76,1.133,-4.079,15.858,4.296,90,4.296,90,4.296,90,0,-0.0057822058,0.0057822058
318,,-1.145,-0.001,0.9,0.6,0.535,2.693,11.524,3.862,90,3.862,90,3.862,90,0,-0.0252348195,0.0252348195
319,,-2.064,-0.105,0.9,0.94,1.138,-2.511,18.388,4.513,90,4.513,90,4.513,90,0,0.0816835261,-0.0816835261
320,,-2.074,0,0.9,0.61,0.542,1.342,11.208,3.827,90,3.827,90,3.827,90,0,0.1670358505,-0.1670358505
321,,-1.554,0.005,0.9,0.96,1.071,-3.788,14.955,4.213,90,4.213,90,4.213,90,0,-0.0072656333,0.0072656333
322,,-2.342,0.114,0.9,0.89,0.609,1.935,15.963,4.306,90,4.306,90,4.306,90,0,0.125965113,-0.125965113
323,,-1.646,-0.164,0.9,0.58,0.515,1.518,10.546,3.75,90,3.75,90,3.75,90,0,0.0747648439,-0.0747648439
324,,-1.731,0.003,0.9,0.66,0.24,4.632,10.608,5.18,63.6,5.18,63.6,5.18,63.6,0,0.0561644466,-0.0561644466
325,,-1.436,0.216,0.9,0.9,1.128,-4.032,15.857,4.296,90,4.296,90,4.296,90,0,0.0064797922,-0.0064797922
326,,-2.084,0.001,0.9,0.72,0.756,-0.544,13.86,4.108,90,4.108,90,4.108,90,0,0.0457722745,-0.0457722745
327,,-3.152,0,0.89,1.12,0.282,-2.736,16.054,6.077,90,6.412,90,8.241,90,0,1.1693247835,-1.1693247835
328,,-2.119,0,0.89,0.95,0.167,-2.152,12.831,5.175,90,5.471,90,9.063,90,0,0.4185891544,-0.4185891544
329,,-2.998,0.199,0.89,0.54,0.302,5.22,9.959,5.16,90,5.36,90,7.202,90,0,0.7273560939,-0.7273560939
330,,-1.202,0.267,0.89,0.58,1.46,0.094,12.281,3.945,90,3.945,90,3.945,90,0,0.0195228526,-0.0195228526
331,,-0.533,0.164,0.89,0.93,1.741,-3.832,13.488,4.07,90,4.07,90,4.07,90,0,-0.0050735421,0.0050735421
332,,-1.921,0,0.89,0.27,1.162,4.306,7.996,3.419,90,3.419,90,3.419,90,0,0.3492404307,-0.3492404307
333,,-3.166,0,0.89,1.35,0.311,-3.113,18.714,6.082,90,6.18,90,9.958,90,3.438,1.9116512089,1.5263487911
334,,-2.706,0,0.89,0.45,0.661,3.63,8.145,3.44,90,3.44,90,3.44,90,0.944,0.8016432427,0.1423567573
335,,-0.845,0.341,0.89,0.76,1.826,-1.949,16.103,4.318,90,4.318,90,4.318,90,0,0.0025814896,-0.0025814896
336,,-0.876,0.021,0.89,0.95,1.798,-5.809,13.548,4.076,90,4.076,90,4.076,90,0,0.0016005968,-0.0016005968
337,,-3.118,0,0.89,0.94,0.333,-8.487,14.898,6.08,90,6.21,90,7.892,90,0,1.0290322959,-1.0290322959
338,,-1.774,-0.116,0.89,0.61,0.903,1.235,9.764,3.655,90,3.655,90,3.655,90,0,0.084154232,-0.084154232
339,,-2.191,0.502,0.89,0.49,0.816,2.431,10.805,3.78,90,3.78,90,3.78,90,0,-0.0281321449,0.0281321449
340,,0.323,0.313,0.89,1.67,3.033,-8.142,18.113,4.491,90,4.491,90,4.491,90,0,0.023846719,-0.023846719
341,,-1.531,0,0.89,0.54,0.971,-0.039,10.115,3.698,90,3.698,90,3.698,90,0,-0.0064094693,0.0064094693
342,,-2.15,0.2,0.89,0.99,1.419,-4.93,15.28,4.243,90,4.243,90,4.243,90,0,0.0678353127,-0.0678353127
343,,-2.252,0.199,0.89,0.89,1.34,-4.042,14.777,4.196,90,4.196,90,4.196,90,0,0.0646934712,-0.0646934712
344,,-3.408,0,0.89,1.06,0.283,-9.478,14.504,5.803,90,5.904,90,8.466,90,3.534,2.1270420241,1.4069579759
345,,-1.766,0.866,0.89,0.65,1.022,1.3,10.898,3.791,90,3.791,90,3.791,90,0,0.0230852201,-0.0230852201
346,,-1.978,0.008,0.89,0.62,0.902,2.65,10.708,3.769,90,3.769,90,3.769,90,0,0.3884038267,-0.3884038267
347,,-2.034,0.199,0.89,0.94,1.507,-5.804,15.882,4.298,90,4.298,90,4.298,90,0,-0.0121656359,0.0121656359
348,,-1.553,0.272,0.89,0.53,1.206,1.155,11.129,3.818,90,3.818,90,3.818,90,0,0.0093118594,-0.0093118594
349,,-2.568,0.389,0.89,0.71,0.844,3.708,13.396,4.061,90,4.061,90,4.061,90,0,-0.0393057996,0.0393057996
350,,-0.404,0.186,0.89,1.11,1.957,-3.61,14.463,4.166,90,4.166,90,4.166,90,0,0.0263469932,-0.0263469932
351,,-2.203,0.2,0.89,0.9,1.378,-3.165,15.018,4.219,90,4.219,90,4.219,90,0,0.0581439574,-0.0581439574
352,,-0.972,0.01,0.89,0.57,1.527,-2.228,12.049,3.92,90,3.92,90,3.92,90,0,0.0054625237,-0.0054625237
353,,-2.492,0.2,0.89,1.38,0.267,-11.897,16.137,6.463,90,6.889,90,7.249,90,1.041,1.4801463382,-0.4391463382
354,,-3.197,0,0.89,1.03,0.356,-8.803,14.87,6.013,90,6.179,90,8.004,90,0,0.7325024885,-0.7325024885
355,,-1.965,0.2,0.89,0.76,0.89,-2.664,8.605,3.504,90,3.504,90,3.504,90,0,-0.0166903884,0.0166903884
356,,-2.399,0.193,0.89,0.86,1.226,-2.884,14.065,4.128,90,4.128,90,4.128,90,0,0.0679915958,-0.0679915958
357,,-2.36,0,0.89,0.72,0.998,0.77,10.17,3.705,90,3.705,90,3.705,90,0.718,0.4274099692,0.2905900308
358,,-1.956,0.718,0.89,0.65,1.039,1.759,10.942,3.796,90,3.796,90,3.796,90,0,0.0343855142,-0.0343855142
359,,-1.674,0.283,0.89,0.61,1.152,0.236,12.107,3.927,90,3.927,90,3.927,90,0,0.0225199317,-0.0225199317
360,,-2.521,0.052,0.89,1.02,0.261,-4.743,13.311,5.23,90,5.344,90,9.525,90,0,0.7634906704,-0.7634906704
361,,-2.02,0.337,0.89,0.64,1.021,1.704,12.861,4.006,90,4.006,90,4.006,90,0,0.0177668804,-0.0177668804
362,,-1.733,0.2,0.89,0.98,1.755,-7.217,17.463,4.436,90,4.436,90,4.436,90,0,0.0163132391,-0.0163132391
363,,-1.735,0.34,0.89,0.6,0.941,0.886,9.999,3.684,90,3.684,90,3.684,90,0,0.0788041866,-0.0788041866
364,,-3.136,0.858,0.89,0.86,0.248,3.01,14.138,6.1,90,6.171,90,7.512,90,0,0.889929251,-0.889929251
365,,-1.069,0.012,0.89,0.57,1.459,-1.742,11.866,3.9,90,3.9,90,3.9,90,0,0.0058315533,-0.0058315533
366,,-1.884,0.591,0.89,0.91,1.226,1.995,16.831,4.382,90,4.382,90,4.382,90,0,-0.0246976597,0.0246976597
367,,-1.022,0.011,0.89,0.75,1.417,-1.494,12.151,3.931,90,3.931,90,3.931,90,0,-0.0121344528,0.0121344528
368,,-1.822,0.2,0.89,0.97,1.661,-6.026,16.92,4.39,90,4.39,90,4.39,90,0,0.0176878994,-0.0176878994
369,,-3.14,0,0.89,0.92,0.332,-8.028,14.625,6.054,90,6.148,90,7.859,90,0,0.6660253763,-0.6660253763
370,,-0.83,0.087,0.89,0.67,1.587,-2.663,12.697,3.989,90,3.989,90,3.989,90,0,-0.0173025132,0.0173025132
371,,-2.051,1.2,0.89,0.83,1.409,-4.9,16.274,4.333,90,4.333,90,4.333,90,0,-0.0511327653,0.0511327653
372,,-2.464,0.2,0.89,1.52,0.201,-16.391,17.128,6.546,90,7.221,90,7.247,90,1.244,1.1511512623,0.0928487377
373,,-1.308,0.209,0.89,0.58,1.385,-0.946,11.976,3.912,90,3.912,90,3.912,90,0,0.006370961,-0.006370961
374,,-1.202,0.001,0.89,0.67,1.289,-1.402,11.744,3.887,90,3.887,90,3.887,90,0,0.0172848936,-0.0172848936
375,,-1.281,0,0.89,0.57,1.279,-1.215,11.625,3.874,90,3.874,90,3.874,90,0,0.0065246843,-0.0065246843
376,,-1.109,0.389,0.89,0.6,1.597,-2.002,14.235,4.144,90,4.144,90,4.144,90,0,0.0113205602,-0.0113205602
377,,-2.585,0.14,0.89,0.75,0.963,-0.591,12.372,3.955,90,3.955,90,3.955,90,0,0.0508679566,-0.0508679566
378,,-2.058,0.247,0.89,0.4,1.074,2.891,9.55,3.628,90,3.628,90,3.628,90,0,0.1660398729,-0.1660398729
379,,-1.879,0.2,0.89,0.96,1.63,-3.259,16.665,4.368,90,4.368,90,4.368,90,0,-0.0055600998,0.0055600998
380,,-2.367,0,0.89,0.69,0.428,1.196,15.092,5.909,90,6.048,90,8.446,90,0.822,0.446806934,0.375193066
381,,-3.229,0,0.89,1.18,0.272,-10.761,15.972,5.87,90,5.966,90,9.123,90,3.5,2.857504994,0.642495006
382,,-2.14,0.369,0.89,0.64,0.916,2.082,12.683,3.988,90,3.988,90,3.988,90,0,0.020647673,-0.020647673
383,,-1.963,0.2,0.89,0.84,1.462,-5.312,15.572,4.27,90,4.27,90,4.27,90,0,0.0545523495,-0.0545523495
384,,-1.448,0.131,0.89,0.6,1.242,-0.429,11.751,3.888,90,3.888,90,3.888,90,0,0.0106658322,-0.0106658322
385,,-0.83,0.382,0.89,0.77,1.742,-2.209,14.822,4.2,90,4.2,90,4.2,90,0,0.0016639683,-0.0016639683
386,,-2.21,0.398,0.89,0.94,1.441,0.652,18.669,4.536,90,4.536,90,4.536,90,0,-0.0404128399,0.0404128399
387,,-2.535,0.178,0.89,0.61,0.742,2.821,11.325,3.84,90,3.84,90,3.84,90,0,0.0337738067,-0.0337738067
388,,-2.139,0.001,0.89,1.2,0.386,-2.018,14.796,6.066,90,6.094,90,8.007,90,0,0.0796736131,-0.0796736131
389,,-2.315,0.2,0.89,0.96,1.295,-3.645,14.496,4.169,90,4.169,90,4.169,90,0,0.2241079178,-0.2241079178
390,,-3.052,0.644,0.89,0.76,0.348,-1.56,14.514,6.103,90,6.358,90,7.481,90,0,0.4429872529,-0.4429872529
391,,-2.208,0.543,0.89,0.54,0.876,2.395,11.093,3.814,90,3.814,90,3.814,90,0,-0.0797802865,0.0797802865
392,,-1.637,0.339,0.89,0.62,1.196,0.191,12.2,3.936,90,3.936,90,3.936,90,0,0.0128975835,-0.0128975835
393,,-2.126,0.2,0.89,0.9,1.422,-4.92,15.277,4.243,90,4.243,90,4.243,90,0,0.025984322,-0.025984322
394,,-3.455,0,0.89,0.95,0.205,-6.177,13.136,5.558,90,5.726,90,8.254,90,4.007,2.9066635382,1.1003364618
395,,-1.63,0.001,0.89,0.74,1.21,-0.762,10.804,3.78,90,3.78,90,3.78,90,0,-0.0168952013,0.0168952013
396,,-2.382,0.382,0.89,0.72,0.906,3.218,13.915,4.113,90,4.113,90,4.113,90,0,-0.046374814,0.046374814
397,,,,,,,,,,,,,,,,Average Delta,0.0434374394
398,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,
